### sid: 1TdNv19zLHgHc9PeRHkwbd0GQnwWNxXpPotIrFqMdZag

MOCS-ID		MOCS-0108						Target	Expected		Water to add	Minimum vol to pipette
Seq platform		NovaSeq_XP 300					Read pairs (M)	2250	2317		22.55	0.50
							Concentration (nM)	4	4.00
							Volume (uL)	60	37.45
							Amount (fm)	240	240.24




MOCS_ID	Pool ID	Cycle #	Index1_ID	Index2_ID	Replicate	samples/pool	Conc (ng/µL)	Avg size (nts)	Target reads per sample (M)	Vol (µL)	dsDNA MW (g/mol)	nmol/L = fmol/µL	Total reads per pool (M)	% target reads per pool	% of pool	fmol to add	Undiluted volume to add (µL)	Dilution	Diluted volume to add (µL)	Pool_ID	WB URL	Pool Location	Plate Name		1	1
MOCS-0108	DAB-0026.1p1	14	X109	P69	1	1	10.90	483	4		298,510.72	36.51	4	141.1%	0.2	0.48	0.01	50	0.50	DAB-0026.1p1	DAB_0026.1 try 2 Enr_WB	A1	ENR-0166		1	1
MOCS-0108	DAB-0026.1p2	14	X110	P70	1	1	8.32	526	4		325,083.00	25.59	4	173.8%	0.2	0.48	0.02	50	1.00	DAB-0026.1p2	DAB_0026.1 try 2 Enr_WB	A2	ENR-0166		1	1
MOCS-0108	DAB-0026.1p3	14	X111	P71	1	1	6.62	485	4		299,746.64	22.09	4	124.0%	0.2	0.48	0.02	50	1.00	DAB-0026.1p3	DAB_0026.1 try 2 Enr_WB	A3	ENR-0166		1	1



MOCS-0108	MOCP-0202p1	15	X97	P57	1	17	4.74	380	10		234,860.84	20.18	170	89.5%	7.3	17.52	0.87	1	0.87	MOCP-0202p1	MOCP-0203 and MOCP-0202 ENR-0167 Enr_WB	A1	ENR-167		1	1
MOCS-0108	MOCP-0202p2	15	X98	P58	1	25	5.18	402	10		248,455.96	20.85	250	71.8%	10.8	25.92	1.24	1	1.24	MOCP-0202p2	MOCP-0203 and MOCP-0202 ENR-0167 Enr_WB	A2	ENR-167		1	1
MOCS-0108	MOCP-0203p1	15	X101	P61	1	30	2.66	333	3		205,816.72	12.92	90	133.0%	3.9	9.36	0.72	1	0.72	MOCP-0203p1	MOCP-0203 and MOCP-0202 ENR-0167 Enr_WB	A3	ENR-167		1	1
MOCS-0108	DAB-0018.6p1	14	X121	P81	1	1	0.40625	192	10		118,684.36	3.42	10	25.6%	0.4	0.96	0.28	4	1.12	DAB-0018.6p1	DAB-0018.6 Enr_WB	A1	ENR-0168		1	1
MOCS-0108	DAB-0018.6p2	14	X122	P82	1	1	0.8125	216	10		133,515.40	6.09	10	35.4%	0.4	0.96	0.16	4	0.64	DAB-0018.6p2	DAB-0018.6 Enr_WB	A2	ENR-0168		1	1
MOCS-0108	DAB-0018.6p3	14	X123	P83	1	1	3.00	249	10		153,908.08	19.49	10	8.8%	0.4	0.96	0.05	10	0.50	DAB-0018.6p3	DAB-0018.6 Enr_WB	A3	ENR-0168		1	1
MOCS-0108	DAB-0018.6p4	14	X124	P84	1	1	0.40625	202	10		124,863.96	3.25	10	5.5%	0.4	0.96	0.30	4	1.20	DAB-0018.6p4	DAB-0018.6 Enr_WB	A4	ENR-0168		1	1
MOCS-0108	DAB-0018.6p5	14	X125	P85	1	1	0.8125	206	10		127,335.80	6.38	10	22.8%	0.4	0.96	0.15	4	0.60	DAB-0018.6p5	DAB-0018.6 Enr_WB	A5	ENR-0168		1	1
MOCS-0108	DAB-0018.6p6	14	X126	P86	1	1	3.32	347	10		214,468.16	15.48	10	43.9%	0.4	0.96	0.06	10	0.60	DAB-0018.6p6	DAB-0018.6 Enr_WB	A6	ENR-0168		1	1
MOCS-0108	DAB-0018.6p7	14	X127	P87	1	1	6.5	479	5		296,038.88	21.96	5	75.4%	0.2	0.48	0.02	25	0.50	DAB-0018.6p7	DAB-0018.6 Enr_WB	A7	ENR-0168		1	1
MOCS-0108	MOCP-0206p1	15	X133	P93	1	25	3.04	435	5		268,848.64	11.31	125	65.8%	5.4	12.96	1.15	1	1.15	MOCP-0206p1	MOCP-0206 Enr_WB	A1	ENR-0169		1	1
MOCS-0108	MOCP-0206p2	15	X134	P94	1	24	2.08	494	5		305,308.28	6.81	120	68.9%	5.2	12.48	1.83	1	1.83	MOCP-0206p2	MOCP-0206 Enr_WB	A2	ENR-0169		1	1
MOCS-0108	MOCP-0206p3	15	X135	P95	1	24	2.06	481	5		297,274.80	6.93	120	61.5%	5.2	12.48	1.80	1	1.80	MOCP-0206p3	MOCP-0206 Enr_WB	A3	ENR-0169		1	1
MOCS-0108	MOCP-0206p4	15	X136	P96	1	24	2.62	434	5		268,230.68	9.77	120	74.3%	5.2	12.48	1.28	1	1.28	MOCP-0206p4	MOCP-0206 Enr_WB	A4	ENR-0169		1	1
MOCS-0108	MOCP-0206p5	15	X137	P97	1	25	2.20	459	5		283,679.68	7.76	125	68.3%	5.4	12.96	1.67	1	1.67	MOCP-0206p5	MOCP-0206 Enr_WB	A5	ENR-0169		1	1
MOCS-0108	MOCP-0206p6	15	X138	P98	1	24	3.52	415	5		256,489.44	13.72	120	69.3%	5.2	12.48	0.91	1	0.91	MOCP-0206p6	MOCP-0206 Enr_WB	A6	ENR-0169		1	1
MOCS-0108	MOCP-0206p7	15	X139	P99	1	26	3.12	436	5		269,466.60	11.58	130	68.3%	5.6	13.44	1.16	1	1.16	MOCP-0206p7	MOCP-0206 Enr_WB	A7	ENR-0169		1	1
MOCS-0108	MOCP-0206p8	15	X140	P100	1	29	2.86	392	5		242,276.36	11.80	145	68.1%	6.3	15.12	1.28	1	1.28	MOCP-0206p8	MOCP-0206 Enr_WB	A8	ENR-0169		1	1
MOCS-0108	MOCP-0206p9	15	X141	P101	1	24	2.72	405	5		250,309.84	10.87	120	79.6%	5.2	12.48	1.15	1	1.15	MOCP-0206p9	MOCP-0206 Enr_WB	A9	ENR-0169		1	1
MOCS-0108	MOCP-0206p10	15	X142	P102	1	24	2.36	435	5		268,848.64	8.78	120	73.7%	5.2	12.48	1.42	1	1.42	MOCP-0206p10	MOCP-0206 Enr_WB	A10	ENR-0169		1	1
MOCS-0108	MOCP-0206p11	15	X143	P103	1	25	2.72	419	5		258,961.28	10.50	125	74.6%	5.4	12.96	1.23	1	1.23	MOCP-0206p11	MOCP-0206 Enr_WB	A11	ENR-0169		1	1
MOCS-0108	MOCP-0206p12	15	X144	P104	1	24	3.26	410	5		253,399.64	12.87	120	106.8%	5.2	12.48	0.97	1	0.97	MOCP-0206p12	MOCP-0206 Enr_WB	A12	ENR-0169		1	1
MOCS-0108	MOCP-0206p13	14	X102	P62	1	24	0.1425	323	2		199,637.12	0.71	48	2817.7%	2.1	5.04	7.06	1	7.06	MOCP-0206p13	MOCP-0206 Enr_WB	B1	ENR-0169		1	1
MOCS-0108	MOCP-0206p14	14	X103	P63	1	24	1.83	279	2		172,446.88	10.61	48	539.4%	2.1	5.04	0.47	2	0.94	MOCP-0206p14	MOCP-0206 Enr_WB	B2	ENR-0169		1	1
MOCS-0108	MOCP-0206p15	14	X104	P64	1	24	7.32	369	1		228,063.28	32.10	24	201.1%	1	2.4	0.07	8	0.56	MOCP-0206p15	MOCP-0206 Enr_WB	B3	ENR-0169		1	1
MOCS-0108	MOCP-0206p16	14	X105	P65	1	24	1.14	342	2		211,378.36	5.39	48	343.0%	2.1	5.04	0.93	1	0.93	MOCP-0206p16	MOCP-0206 Enr_WB	B4	ENR-0169		1	1
MOCS-0108	MOCP-0206p17	14	X106	P66	1	24	2.28	357	2		220,647.76	10.33	48	149.1%	2.1	5.04	0.49	2	0.98	MOCP-0206p17	MOCP-0206 Enr_WB	B5	ENR-0169
MOCS-0108	MOCP-0206p18	14	X107	P67	1	24	9.12	516	1		318,903.40	28.60	24	345.7%	1	2.4	0.08	8	0.64	MOCP-0206p18	MOCP-0206 Enr_WB	B6	ENR-0169		1	1
