### sid: 1nq1mqAA9Qw_zYt6N2_2B8WegAlL1HpgMnXhg1lUBFPg

MOCS-ID		MOCS-0110						Target	Expected		Water to add	Minimum vol to pipette
Seq platform		NovaSeq_XP 300					Read pairs (M)	2250	1941		0.45	0.50
							Concentration (nM)	2.7	2.70
							Volume (uL)	60	59.55
							Amount (fm)	162	162.16




MOCS_ID	Pool ID	Cycle #	Index1_ID	Index2_ID	Replicate	samples/pool	Conc (ng/µL)	Avg size (nts)	Target reads per sample (M)	Vol (µL)	dsDNA MW (g/mol)	nmol/L = fmol/µL	Total reads per pool (M)	% target reads per pool	% of pool	fmol to add	Undiluted volume to add (µL)	Dilution	Diluted volume to add (µL)	Pool_ID	WB URL	Pool Location	Plate Name		1	1
MOCS-0110	MOCP-0205p1	15	X97	P57	1	30	1.09	475	10		293,567.04	3.71	300	144.5%	15.5	25.11	6.76	1	6.76	MOCP-0205p1	MOCP-0205 Enr_WB	A1	ENR-0170		1	1
MOCS-0110	MOCP-0205p2	15	X98	P58	1	30	1.32	504	10		311,487.88	4.24	300	131.5%	15.5	25.11	5.93	1	5.93	MOCP-0205p2	MOCP-0205 Enr_WB	A2	ENR-0170		1	1
MOCS-0110	MOCP-0205p3	15	X100	P60	1	30	0.45	526	7		325,083.00	1.40	210	70.3%	10.8	17.496	12.53	1	12.53	MOCP-0205p3	MOCP-0205 Enr_WB	A3	ENR-0170		1	1



MOCS-0110	RtS-0032.3p1	15	X114	P74	1	24	3.52	362	5		223,737.56	15.73	120	364.4%	6.2	10.044	0.64	1	0.64	RtS-0032.3p1	RtS-0032.3 Enr_WB	A1	ENR-0172		1	1
MOCS-0110	RtS-0032.3p2	15	X115	P75	1	24	4.78	419	5		258,961.28	18.46	120	165.2%	6.2	10.044	0.54	1	0.54	RtS-0032.3p2	RtS-0032.3 Enr_WB	A2	ENR-0172		1	1
MOCS-0110	MOCP-0207p1	15	X127	P87	1	18	0.772	447	5		276,264.16	2.79	90	205.0%	4.6	7.452	2.67	1	2.67	MOCP-0207p1	MOCP-0207, MOCP-0208 Enr_WB	A7	ENR-0173		1	1
MOCS-0110	MOCP-0207p2	15	X128	P88	1	18	0.964	448	5		276,882.12	3.48	90	171.1%	4.6	7.452	2.14	1	2.14	MOCP-0207p2	MOCP-0207, MOCP-0208 Enr_WB	A8	ENR-0173		1	1
MOCS-0110	MOCP-0207p3	15	X129	P89	1	18	0.808	450	5		278,118.04	2.91	90	187.2%	4.6	7.452	2.57	1	2.57	MOCP-0207p3	MOCP-0207, MOCP-0208 Enr_WB	A9	ENR-0173		1	1
MOCS-0110	MOCP-0208p1	15	X121	P81	1	23	0.20	459	3		283,679.68	0.71	69	249.6%	3.6	5.832	8.19	1	8.19	MOCP-0208p1	MOCP-0207, MOCP-0208 Enr_WB	A1	ENR-0173		1	1
MOCS-0110	MOCP-0208p2	15	X122	P82	1	24	0.75	473	5		292,331.12	2.57	120	228.7%	6.2	10.044	3.91	1	3.91	MOCP-0208p2	MOCP-0207, MOCP-0208 Enr_WB	A2	ENR-0173		1	1
MOCS-0110	MOCP-0208p3	15	X123	P83	1	24	0.55	480	5		296,656.84	1.85	120	185.4%	6.2	10.044	5.42	1	5.42	MOCP-0208p3	MOCP-0207, MOCP-0208 Enr_WB	A3	ENR-0173		1	1
MOCS-0110	MOCP-0208p4	15	X124	P84	1	24	1.42	455	5		281,207.84	5.05	120	201.8%	6.2	10.044	1.99	1	1.99	MOCP-0208p4	MOCP-0207, MOCP-0208 Enr_WB	A4	ENR-0173		1	1
MOCS-0110	MOCP-0208p5	15	X125	P85	1	24	0.42	475	3		293,567.04	1.41	72	403.1%	3.7	5.994	4.24	1	4.24	MOCP-0208p5	MOCP-0207, MOCP-0208 Enr_WB	A5	ENR-0173		1	1
MOCS-0110	MOCP-0208p6	15	X126	P86	1	24	1.46	475	5		293,567.04	4.97	120	218.0%	6.2	10.044	2.02	1	2.02	MOCP-0208p6	MOCP-0207, MOCP-0208 Enr_WB	A6	ENR-0173		1	1
